latitude,longitude,name,country,placeID,Rcuisine,location,cuisine,h3_index_6,h3_index_9,h3_index_12
18.915421,-99.184871,Kiku Cuernavaca,Mexico,134999,Japanese,,,8649b32f7ffffff,8949b32f1d3ffff,8c49b32f1d1cdff
22.1473922,-100.983092,puesto de tacos,mexico,132825,Mexican,,,86499da87ffffff,89499da851bffff,8c499da851967ff
22.1497088,-100.9760928,El Rinc�n de San Francisco,Mexico,135106,Mexican,,,86499da87ffffff,89499da855bffff,8c499da8558b1ff
23.7526973,-99.1633594,little pizza Emilio Portes Gil,?,132667,Armenian,,,86499b0b7ffffff,89499b0b5c3ffff,8c499b0b5c20dff
23.7529035,-99.165076,carnitas_mata,Mexico,132613,Mexican,,,86499b0b7ffffff,89499b0b5d7ffff,8c499b0b5d503ff
23.7543569,-99.171288,Taqueria EL amigo ,Mexico,132732,Mexican,,,86499b0b7ffffff,89499b0b583ffff,8c499b0b58adbff
22.1499013,-100.9937793,shi ro ie,?,132875,Japanese,,,86499da87ffffff,89499da85abffff,8c499da85a867ff
23.7602683,-99.1658646,Pollo_Frito_Buenos_Aires,Mexico,132609,Fast_Food,,,86499b0b7ffffff,89499b0b51bffff,8c499b0b518e3ff
22.140129,-100.944872,Abondance Restaurante Bar,Mexico,135069,Bar,,,86499da87ffffff,89499da8613ffff,8c499da861241ff
22.141421,-101.013955,Mcdonalds Parque Tangamanga,Mexico,135086,"Burgers, Fast_Food",,,86499daafffffff,89499daae07ffff,8c499daae0461ff
22.1430781,-100.9354788,Tortas y hamburguesas el gordo,Mexico,132870,Burgers,,,86499da87ffffff,89499da8653ffff,8c499da8650cbff
22.1378633,-100.9383273,Sirlone,Mexico,132854,International,,,86499da87ffffff,89499da86c3ffff,8c499da86c003ff
22.1500193,-100.9799203,rockabilly ,mexico,132937,Bar,,,86499da87ffffff,89499da8543ffff,8c499da8542d5ff
22.1513782,-100.9746337,Unicols Pizza,Mexico,132856,Italian,,,86499da87ffffff,89499da854bffff,8c499da85486bff
23.738212,-99.1519547,TACOS EL GUERO,mexico,132668,Mexican,,,86499b19fffffff,89499b0b483ffff,8c499b0b4831bff
22.1506429,-100.9870148,La Posada del Virrey,Mexico,132862,International,,,86499da87ffffff,89499da8503ffff,8c499da8501a9ff
18.948657,-99.235361,Restaurant and Bar and Clothesline Carlos N Charlies,Mexico,134983,"Bar, Bar_Pub_Brewery",,,8649b32c7ffffff,8949b32c58fffff,8c49b32c58ed7ff
22.136872,-100.9345736,KFC,Mexico,132851,"American, Game",,,86499dab7ffffff,89499da86dbffff,8c499da86d985ff
22.159357,-100.973411,Restaurant Oriental Express,Mexico,135042,Chinese,,,86499da87ffffff,89499da80a3ffff,8c499da80a18dff
18.9257734,-99.2326355,Mariscos Tia Licha,mexico,132768,Family,,,8649b32e7ffffff,8949b32e313ffff,8c49b32e31307ff
22.140626,-100.915657,Restaurante y Pescaderia Tampico,Mexico,135054,Seafood,,,86499da97ffffff,89499dab36bffff,8c499dab36801ff
22.178931,-101.012861,La Fontana Pizza Restaurante and Cafe,Mexico,135053,"Cafeteria, Fast_Food, Pizzeria",,,86499daafffffff,89499da8c97ffff,8c499da8c958bff
22.14955,-100.97797,El Rincon de San Francisco,Mexico,135025,Mexican,,,86499da87ffffff,89499da8543ffff,8c499da854313ff
22.14788,-100.989472,Preambulo Wifi Zone Cafe,Mexico,135030,"Cafe-Coffee_Shop, Cafeteria",,,86499da87ffffff,89499da8517ffff,8c499da851561ff
22.145992,-100.955118,El Herradero Restaurante and Bar,Mexico,135057,Bar,,,86499da87ffffff,89499da86a7ffff,8c499da86a541ff
22.156376,-100.998355,Koye Sushi,Mexico,135079,Chinese,,,86499daafffffff,89499da8537ffff,8c499da8534dbff
22.1603808,-100.9880447,la parroquia,?,132954,Breakfast-Brunch,,,86499da87ffffff,89499da8567ffff,8c499da8564d9ff
22.15106,-100.977659,Luna Cafe,Mexico,135041,"Bar, Cafeteria",,,86499da87ffffff,89499da8543ffff,8c499da8541c7ff
23.7588052,-99.1651297,Hamburguesas La perica,Mexico,132608,Mexican,,,86499b0b7ffffff,89499b0b51bffff,8c499b0b51b13ff
22.141282,-101.002958,Restaurante El Reyecito,Mexico,135046,Fast_Food,,,86499daafffffff,89499daae43ffff,8c499daae40ddff
22.1412384,-100.9239252,Dominos Pizza,Mexico,132869,Pizzeria,,,86499dab7ffffff,89499dab32bffff,8c499dab329a5ff
22.1534997,-100.976243,el pueblito,?,132925,Mexican,,,86499da87ffffff,89499da854fffff,8c499da854d6bff
22.147622,-101.0102749,emilianos,?,132955,Bar_Pub_Brewery,,,86499daafffffff,89499daae77ffff,8c499daae758bff
22.145108,-100.989547,Restaurant Bar Hacienda los Martinez,Mexico,135059,Bar,,,86499da87ffffff,89499da8513ffff,8c499da85121bff
22.140517,-101.021422,Michiko Restaurant Japones,Mexico,135034,Japanese,,,86499daafffffff,89499daaea3ffff,8c499daaeae49ff
22.156883,-100.978485,Restaurante Marisco Sam,Mexico,135060,Seafood,,,86499da87ffffff,89499da80b7ffff,8c499da80b6a9ff
22.148854,-101.008472,la Cochinita Pibil Restaurante Yucateco,Mexico,135055,Mexican,,,86499daafffffff,89499daae63ffff,8c499daae60d5ff
22.149689,-100.999525,Restaurante la Parroquia Potosina,Mexico,135074,Contemporary,,,86499daafffffff,89499da85a7ffff,8c499da85a705ff
18.859803,-99.222164,El Oceano Dorado,Mexico,135018,Mexican,,,8649b321fffffff,8949b321983ffff,8c49b32198367ff
22.1489337,-101.019845,Gordas de morales,Mexico,132723,Mexican,,,86499daafffffff,89499daae27ffff,8c499daae2447ff
18.933537,-99.222497,Subway,Mexico,135021,Fast_Food,,,8649b32e7ffffff,8949b32e34fffff,8c49b32e34f3bff
22.150981,-100.977412,La Cantina Restaurante,Mexico,135052,"Bar, Bar_Pub_Brewery",,,86499da87ffffff,89499da8543ffff,8c499da8541e9ff
22.1262926,-100.9007764,Cenaduria El Rincón de Tlaquepaque,mexico,132845,Mexican,,,86499dab7ffffff,89499dab267ffff,8c499dab2671dff
22.1312917,-100.9371941,Hamburguesas Valle Dorado,Mexico,132858,Burgers,,,86499dab7ffffff,89499dab3a7ffff,8c499dab16927ff
22.148665,-101.001273,la Cantina,Mexico,135026,"Bar, Bar_Pub_Brewery",,,86499daafffffff,89499da85b7ffff,8c499da85b4a7ff
23.7529821,-99.1684341,vips,?,135104,Mexican,,,86499b0b7ffffff,89499b0b58bffff,8c499b0b58b4dff
23.7529305,-99.1644725,palomo tec,?,132630,Mexican,,,86499b0b7ffffff,89499b0b5d7ffff,8c499b0b5d521ff
22.1544736,-100.9858091,VIPS,Mexico,132951,American,,,86499da87ffffff,89499da8573ffff,8c499da857295ff
23.7367977,-99.1342413,TACOS CORRECAMINOS,mexico,132665,Mexican,,,86499b56fffffff,89499b56933ffff,8c499b5693285ff
22.141848,-100.997475,Restaurant Wu Zhuo Yi,Mexico,135044,Chinese,,,86499daafffffff,89499daae4bffff,8c499daae4951ff
22.145813,-101.018032,El Mundo de la Pasta,Mexico,135035,Italian,,,86499daafffffff,89499daae23ffff,8c499daae2251ff
22.126375,-100.910926,Restaurante la Cantina,Mexico,135071,"Bar, Bar_Pub_Brewery",,,86499dab7ffffff,89499dab227ffff,8c499dab22401ff
22.156469,-100.98554,Gorditas Doa Gloria,mexico,132834,Mexican,,,86499da87ffffff,89499da8577ffff,8c499da857505ff
22.1422732,-100.9426537,el lechon potosino ,mexico,132846,International,,,86499da87ffffff,89499da8613ffff,8c499da861131ff
22.142017,-100.999246,Restaurante Bar Fu-hao,Mexico,135048,Bar,,,86499daafffffff,89499daae4bffff,8c499daae4aa1ff
23.7318602,-99.1504365,tortas hawai,?,132717,Fast_Food,,,86499b19fffffff,89499b19a77ffff,8c499b19a664bff
22.1480965,-101.0173023,Carls Jr,Mexico,132861,Burgers,,,86499daafffffff,89499daae23ffff,8c499daae20e7ff
22.1795169,-100.9584358,Hamburguesas saul,mexico,132885,Cafeteria,,,86499da87ffffff,89499da831bffff,8c499da831b59ff
23.7521965,-99.1666317,Carreton de Flautas y Migadas,Mexico,132740,Mexican,,,86499b0b7ffffff,89499b0b5d7ffff,8c499b0b5d44bff
18.8699929,-99.2103195,El cotorreo,?,132773,"Family, Mexican",,,8649b321fffffff,8949b321943ffff,8c49b32194011ff
23.7292162,-99.1323571,Gorditas Dona Tota,Mexico,132706,Mexican,,,86499b56fffffff,89499b5698fffff,8c499b5698c99ff
22.1735955,-100.9946027,Pizzeria Julios,?,132872,American,,,86499da87ffffff,89499da81a3ffff,8c499da81a1d7ff
22.1416471,-100.9927118,Cafe Chaires,Mexico,132572,Cafeteria,,,86499da87ffffff,89499da8583ffff,8c499da858013ff
22.1449787,-101.0056829,tacos los volcanes,mexico,132958,American,,,86499daafffffff,89499daae7bffff,8c499daae7127ff
23.7527071,-99.1625655,Little Cesarz,Mexico,132733,Pizzeria,,,86499b0b7ffffff,89499b0b5c3ffff,8c499b0b5c351ff
22.1511348,-100.9823115,cafe punta del cielo,?,132922,Cafeteria,,,86499da87ffffff,89499da8547ffff,8c499da854619ff
